iter	Passed	Remaining
1046	2862	2605
1047	2864	2602
1048	2867	2599
1049	2869	2596
1050	2872	2593
1051	2875	2590
1052	2878	2588
1053	2881	2585
1054	2883	2583
1055	2886	2580
1056	2888	2577
1057	2890	2573
1058	2893	2571
1059	2896	2568
1060	2899	2565
1061	2901	2563
1062	2904	2560
1063	2907	2557
1064	2910	2554
1065	2912	2551
1066	2914	2548
1067	2917	2546
1068	2920	2543
1069	2922	2540
1070	2925	2537
1071	2927	2534
1072	2930	2531
1073	2932	2528
1074	2934	2524
1075	2937	2522
1076	2939	2519
1077	2942	2516
1078	2944	2513
1079	2947	2510
1080	2949	2507
1081	2952	2504
